scramble,orientation,cross,pair_fr,pair_bl,pair_fl,pair_br,oll,pll,total_moves
L2 R2 F2 U' L2 R D2 U' F' U2 R' B' L B U2 R' L U2 L U2 D L2 D,x2,L R' B' D B2 R B',R' U2 F2 R F2,R B' R' B,U' R B' R B R2,U B U2 B2 U B,U F' U' F U F R' F' R,U2 U' B2 D' F2 D' L2 F' D' B D2 F' D B,51
D B' R' F D' U R U' B2 U2 R2 L' F' R2 F' U' R B2 U2 D2 B2 U' L' D' F',x2,L2 U' F2 R' B' F,B2 L' B2 U2 L,D B' U2 B D',F R' F' R,U2 B2 D' R2 D B2,B' U2 B2 U B2 U B2 U2 B',U' L' U2 L F R U' R' U' F' U' L F' L' F U,51
D2 R2 U2 R2 U' D2 B F R L' B' F2 R2 U2 F D2 R2 U L2 D2,x2,R B' U L' B F2 D2,R2 F2 D' F D F R2,B U2 B' U' B U B',L F' U2 F L',U' L' U2 L2 U' L',U B' U2 B2 U B2 U B2 U2 B',L2 U F' B L2 F B' U L2 U' U,53
D U' B' U' L' D2 U' B' U2 D F2 L2 D R' F' D' U2 F D U' R' U2 F2 U' B,x2,L' F' L2 B2 R' D',D2 F U2 F' D2,U' R' U' R,F D' L2 D' B D2,U L' U2 L2 U L',F B' U' R' U R B U F',B2 D L2 U2 B2 U' B2 U' L2 B2 U2 B2 D' B2 U',51
L2 U D2 B' U2 L R2 F' D2 F2 B2 D B L' F' B R2 D U F L D2,x2,R' U' L2 F R' B',U' L' U' L,B' R2 F R2 B R2 F' R2,R2 U R' U' R2,U L F U2 F' L',U F2 D' B L2 B' D F U2 F,R' D B2 L2 D L' F2 L D' L2 B2 D' R U',53
R D B U' F' B' D2 F2 R' F2 D' F' B L2 R' B' R' D2 B D B' D' B D',x2,U' B L' F D2 B L,B' F U' B F',B U B',B U2 B2 R2 B R2,U L2 F2 R' F' R F' L2,L' U' L B L' B' U B L B',U2 L' B R' U2 L F' L R2 D2 R2 F L' R U,54
B R L F2 B2 L2 D F' U2 D' F R' B F U' L' R' B' R2 F2 D R2,x2,F R B2 D,U' L' U B' U B U2 L,B U B',U2 F' U' F,D' B' U2 B D,U F' U2 F2 U F' U F U2 R' F' R,L' U2 L F R U' R' U' F' U' L F' L' F U',51
B2 F2 D2 R' F' B2 R D R F' U' B' F' L U' F R2 U R L D' L2 R' B' U,x2,B F' L D,F L2 F L2 F',U R' F R' F' R U' R,L U2 L' F' U' F,L2 D L' U L D' L2,U F' U2 R' U' R2 B' R' B2 U' F B',R2 F' U2 F2 R2 B' D2 B2 D2 R2 F' U2 R2 B2,56
L' U' F L' D L' R D' L D2 F2 R2 D U' R' L2 F D' R B,x2,D2 F D L B2 F',U' B L' U' L B',R' U' B' U2 B R,L' U' L2 F2 L' F2,U2 B' U R' U R U2 B,U F R U' B U B' R' F',U L2 U F' B L2 F B' U L2 U' U,53
B2 U2 L' D B' F D' U2 B' D2 U' B2 F2 L2 R U D2 B' L U2 D' B,x2,U L2 F2 R' B' D,F U' R2 F R2 F2,D U2 B' U B D',F' U2 F,U2 L U L',U B' R B R' U2 B2 L' B' L B',U2 B2 R U' L U2 R' U L' R2 B2 R2 U B2 U2,51
