scramble,orientation,fb,2x2x3,EOPair,LXS,co,pll,total_moves
F B2 R' U2 L2 D' B R2 U2 B2 F' R2 D2 R F' B U2 R2 F L R D2 F,x z x,B' R B2 R2 F' D R2 F' U2 B',U2 F2 U' B2 D' B2,U2 F2,U2 U R' U L' U R' L F2 R2,R' U2 R2 U R2 U R2 U2 R',U B' F' U2 B F L U' R U2 L' U R' U2,51
R B' F' R2 U2 R2 D2 R2 B' F' D F B R2 U2 F R2 F2 R D' U B' R' L D',x x,B2 U L' R' B D L2 B' R2 F,U2 L2 D' R2 D' L2,R2 U' R2 U' R,U2 U' R U' R2 U2 R' U2 R,L' B' U' B U L,U2 R' U' R U' R B2 R' B2 L' B2 R B' L B' R' U',53
L' F2 R2 F2 L2 F2 R F' R' U B U B2 R2 U2 R D F B2 R2 D U R2 D2 F,x x,D' L2 F' D2 L F D2 U2 F,L2 D L B2 L,U' R2 U' R,U' R' F R B' R2 F' R' B,U2 F' L' B' L F L' B L,U' U' F2 D' L2 U L2 F2 D R2 U' R2,48
B' L' U' D L2 U2 F2 B L' D L2 R2 U R' B2 F' U2 F2 L D U' R' B2,x x y,R' B U' R2 B2 R' D2 B' D F',F2 R D2 R2 B2 R F2,D' R' U2 R D,U L' B2 L U2 F' L' B2 L F,U L' U2 L2 U L2 U L2 U2 L',R' F R F' B' R F B' R F' R' B2 U2,55
L' D' U' F2 L' R B L2 B U2 B2 D' U2 B2 R' U B U' D2 B2,z z,U L2 B' F2 R2 D' B' R' D' F',U2 L' R2 D R2,L U L U' L2,U' F' L2 U' L2 U F,B' U' R' U R B,U2 R B' R' F' R B' D L' D' B2 R' F U,47
F R F' D' B' R' D' L R2 D2 L U D B' F L' B D L' B,x x,L' F D' F' L' F2 D' R B,U L2 R D' L2,U2 R2 U' R,R2 U2 R' U' R U' R2,B' R2 F R F' R B,U' F' U' L' U' B L' B' L2 F R U2 R',45
F' D2 B2 L' D L D' U2 F' U2 L2 U D L F' R2 U2 D2 L' B' L' F2 U2 B' L2,x x,D' R2 U' B L U L' D,L2 D2 L B2 L,U2 R' U2 R2,U2 B' U' R2 U B F' U2 F,,B2 D B' U' F U2 B' U F' U' B2 L2 D' B2 U',41
B U2 F D' L2 R U' D2 F2 U' D' B D' R L U' R F2 D F2 L2 F R2 B',x x,D2 R B2 L2 B' L' F' D',L2 D' R2 D' L2,R2 U' R,U' B2 D' R' D R B2,B' R' U' R U B,U U' R L U2 B U2 B' U2 R' L D F2 D' L2 U2,45
L' U F L2 B2 F L D2 R F2 B' L2 F' B D2 F U F D2 L2 B' F' D' B2 R2,x x,U2 B L2 U2 B' D' L F',L2 D' R' D' L2,R U2 R2,U B' R F R D R' D' B F',B' R2 F R F' R B,F U' F' U2 B L' F' L2 F L B' L' U L,47
L U' R U' B U B2 U' R2 D R2 D U F R2 B2 F U' L2 B2 U' L',z z,D2 U L F2 D2 B' D R' D',R2 D' R2,U2 L U L2,L F U F2 D' L D F U L',B' U' R' U R B,B U B' L' D' B2 D B L U' B2 U2 B U,46
R' L' F2 B' U R2 B2 D' U L2 D2 L2 U2 D R2 B' D2 U' R2 L2 D' B U2 R' L',z z,B U2 B2 U R' F2 L2 D2 B',U R2 D' R2,U L2,B2 R' U' R U B2,U B' R' F' R B R' F R,U B2 R2 U' R2 D B2 D' B2 U B2,41
F D' L2 R2 D' U2 R' B' D B L B2 R L2 B2 L2 B2 D2 L' D2 U2 R2 U2 L' U2,x x y,R U R2 U' F R B F D,F2 R D R' D2 F2,L U L' U B2,U L' B2 L U2 L' B2 L,L U' R' U L' U' R,F2 U R' L F2 R L' U F2 U' U',46
D R' L' B2 F' D' F' L D2 B F2 L B D2 L2 D B R' L U2 L2 U,x x,D2 U' F' R' U' F' L' R2 D,L2 D R2 D L2,U R' U R' U' R2,U2 L' B R2 B R B' R B' L,L' U' B' U B L,U L' B L F L' B D' R D B2 L F' U,50
D B2 R B2 U2 D' F' R2 L2 D' B2 R2 F' L' B R' B L' F U' D2,x x,U' R2 F' L R' F2 U2 B',F2 L D L' F2,U' R' U R2,F2 U B U' F2 U B',U B' U2 B2 U B2 U B2 U2 B',U2 L R U2 R' U' R U2 L' U R' U2,46
B2 F2 L F D2 F2 D' R L' B2 L' B D F L' R' B' L' B R2 F' L B,z z,U2 B L U' F' D B L R F',U2 R' F2 R,U' L' U L' U' L2,U' L' U2 L U L2 U L,,U B2 U' R L' B2 R' L U' B2 U2 U2,40
U' B2 D2 B2 R U' F' L2 U D' B F' L R2 D R2 D L R B',x x,R2 F R F' D' U R2 B' D F',L2 R D R' D L2,R' U R U R2,U' R U' L D' F2 D L' U' R,B' U2 B2 U B2 U B2 U2 B',U' L' B R' U2 L F' L R2 D2 R2 F L' R U',55
D2 U2 L' R2 B U2 R D U2 R2 F' D' U B D R U2 B' U2 R' U' F R,x z x,U' B D2 F R D2 F' R2 D',U B2 F2 D' B2,L' U L U F2,U R2 D2 L D L' D R F2 R,F U2 F' U' F U' F',B' R F' U2 B L' B F2 D2 F2 L B' F U',50
B2 R' D2 B U D' B2 U D2 R2 L F L2 B2 R2 U' B2 U2 B' D2 B U' D2,x x y,L2 F2 R' F2 U2 F D' R2 B' R,F2 D' L B2 L' F2,D' U R' U' R D,U' L2 R D R D' R' D' L2 R',L' U2 L2 U L2 U L2 U2 L',F U' R B' R' F' R B R' U' F U2 F' U',55
L U2 L2 F' U2 F R2 U2 F U F U D' L' U L2 D' L' U' B' L' D U,x x,D B U R' F2 U' B2 D,L2 R D' L2,D R' U R D',U2 B' D' L U F2 U' L' D B,B' U' R' U R B,L R' U L' U' L' R B L B',43
L D U' B2 U F' D U2 B' U2 F R L2 U R' U' L' U' L B R2 D',z z,L B2 D' B' R' D2 B D B',L2 U' R2 D' R2,L2 D L' U' L D',F' L2 U' L' U L' F,F R B' R B R2 F',U2 B F' L F2 U2 B2 F' R F' D2 F R' B,48
D' U R' F' L U2 D' R' D F' B2 D F' L2 D' U' R L' U F' D2 F' D2 F' D,x x,D U F' R' U L' F2 D',,U' R U' R' U2 R2,B' D' R U' R' D U B,U F' L' B' L F L' B L,L' B R' U2 L F' L R2 D2 R2 F L' R U',45
B' L U2 R B' L' D R D' B' D2 R2 L' U R F' B' R' U' B' D',x x,R2 D' B2 L D' B L' R' F,U' L F2 L',D' U' L F2 L' D,U' U' R' F' U' R' U R U F,U2 B' R' F R B R' F' R,U' F2 U' L R' F2 L' R U' F2 U2,49
F D' F2 L2 F' L2 F' D R D' L2 B2 F L2 F' R2 D' B2 D R' U B2 L2,x x,L' F2 L' D' F' R B' F,L2 D' L' F2 L',R' U R2,U2 F2 D' B2 R D2 R' B2 L D F2,U2 B' U2 B2 U B2 U B2 U2 B',B2 D F2 D R2 F D B' D2 F D' B' U' U',51
U2 L' U' L2 D U2 R2 F D2 B R' B2 R' L' B' D B2 F2 R L2 D' R' U' L' B',x x,B' U2 B' U' F' R2 F' L2,U L2 R' D L2,R2 U' R2 U' R,R U R' U' R U R',U' B' R' F R B R' F' R,U' F2 U' L R' F2 L' R U' F2 U2 U2,46
U' D2 R2 F2 U B2 L' D2 B' U L D' F R2 L' B2 R' D L' F' D2 U2,x z x,B2 U2 F D' L2 U2 B' R' D F',B2 F2 D B2,F2 D R U' R' D',U' U' L B2 R2 D R2 B2 L',B' R' F R' F' R2 B,U R' F' R U' F2 U' R' F' R2 U' R2 F R U F2,52
R L' D2 R2 U R B R' U' D2 L D2 B' L' F2 R' B2 D2 L2 B',x x,F L' F2 R D2 B2 U L' U B,U' L2 R2 D L2,R' U' R U R2,U2 B' U' R2 U B F' U2 F,F' L F L' U2 F2 R' F' R F',U U' F' U' L' U' B L' B' L2 F R U2 R' U,54
D B' D R B2 R B' F R B F D' R2 U2 L' R B' U L' U F' D' L',x x,U' L B D' F' D2 L' B',L2 D R' D' L2,D' L F2 L' D,U R U' R2 U2 R2 U2 R,,U' U' F2 D' L2 U L2 F2 D R2 U' R2,38
F L2 D' F2 B2 R' L U' L' U L2 B' F' R D L' U' R L B L2 B2 R2 B2 F2,x x,L B L B U2 L D U B,L2 D' R2 D' L2,R' U R2,U2 B' R2 U' R2 U B,L' U' B' U B L,U U' B' R' F' R B R2 U' R F R' U R2 U2,45
U' R' L2 B F2 L2 R' F2 B U' B2 F R2 F U R' F' R' U' F2 U2 F U2 D',x z x,R' B F2 D B' F2 R' D' B,B2 D' F2 D' B2,U2 L' U' L U' F2,B D' B' U2 B D B',U' R' F' L F R F' L' F,F' U B' U F U2 L F R2 F' L' R2 U B,50
R B R2 U2 D R2 B' U' L2 B2 F L' D2 B F2 D' B2 U' B' L2 U2,x x,F' R2 B U' R U L2 B' F2,L2 D' R' D L2,R' U R U' R2,R U2 R' U' R U2 R',F R B' R B R2 F',U L U F2 U' F R U R' U F U2 F L' U,48
R U2 D' R2 F2 D2 R' F2 B U L' B2 F R L U' F U' F' D2 B2 R D2 L,x x,D2 L' R2 U' L B' F' L D',L2 D R' D' L2,U' R2,U L' B2 R B2 L,U2 B' U2 B2 U B2 U B2 U2 B',U2 B' R B' L2 B R' B' L2 B2,42
L2 D F2 D2 R D2 L R F U' F U R2 B2 L D2 U' R2 U' D R F' U' L2,x x,R D2 F U' L B2 L2 U B' D2,L2 D2 L B2 L,R2 U' R2,U' L' B2 R2 D' R D B2 L,U B' U2 B2 U B2 U B2 U2 B',U2 B' R B' L2 B R' B' L2 B2 U',48
F B L2 F R' L D2 B2 F' D U' R2 D2 B D' R2 L2 D R' D2 U' R2 D F2 L',x x,L' U' R' B2 L2 B D' F',U2 R2 U L2 D L2,D R' U2 R D',U' R U2 R',L U' R' U L' U' R,U2 B2 R U' L U2 R' U L' R2 B2 R2 U B2 U2,45
L' U F B2 D2 L' D' U' R' B' U' R U2 B2 F D2 L F D' L,x x,L2 R F2 U F U2 F' L' F,L2 D L B2 L,R2 U2 R U' R2,U' B' R' F' R' U' R U B F,B' R' F R B R' F' R,B' R B' L2 B R' B' L2 B2,46
F2 U2 L' R B' U B' L2 R2 B L U2 B2 R F B' D' R' L' F' L R2 B' L',x x,L2 D2 L' R' D B' L R D,U L2 R2 D L2,R U R U' R2,U2 R U' L D' F2 D L' U' R,L' U' B' U B L,U L F' L' B' L F' D R' D' F2 L' B,48
R' F2 B' U2 L D' U' L2 R F' L U' F2 B' L' B' R' U' D' F2 D2 R2 D' L2,x x,U L' B' D L2 R F D2 B,U' R2 U L2 D L2,D' R U R' D,U B' R' F R' F' R' B,U2 B' U2 B2 U B2 U B2 U2 B',U B2 D B' U' F U2 B' U F' U' B2 L2 D' B2 U',54
L' D L2 B R2 U R2 L' B L' F' U D B2 D2 B2 U R' D R2 U R' F L2 D,x z x,B2 U' R B2 F D2 U' B' L',B2 R D2 R2 B2 L,L F2 L2 U L F2,U2 F2 U2 R U' R' U2 F2,U2 R' F' L F R F' L' F,U B2 U L' R B2 L R' U B2 U' U,50
L' U' D' L2 R2 F2 B D' U B L F' R2 D U' R U' B R' L' U2 L B',x z x,D2 R2 B R U2 B F' D' L,L2 B2 D F2 R2 B2,F2 U2 L F2 L' F2,U' L' U' L' B2 R D2 R' B2 L2,F U' B' U F' U' B,U F' U B' U F U2 L F R2 F' L' R2 U B U2,54
F' B L R' F' L' D F' L F' D' F' R' B R' F B' D' F' R' L2 D' B D2 R,x z x,L' R' D U' L R' B D',L' B2 R' D2 R' B2,U' L' U L U2 F2,U' R2 D2 L D L' D R2,L' B' R' B L B' R B,U' L2 D' B2 U B2 L2 D F2 U' F2,47
R D2 B' D' L2 R' B R D' U2 L2 B2 D' F2 L F2 D' L2 R' D' L2 B2 F' U' R',x x,R F' U2 R F' R' D' U' B,L' B2 L' D L2,R U R2,R2 B2 R' B2 L U2 L' R',U' B' U2 B2 U B2 U B2 U2 B',U' F2 L2 U' L2 D F2 D' F2 U F2 U2,47
D' B F2 U D' B2 L' U D B' R2 D2 U' B L U' B2 F L' D F' U' L2,x x y,D R2 F' L2 B D' L' B R,D2 B F' R2 B' F,U2 B2 L' B2 L B2,U2 L' U' B2 U B2 L,U' L' U2 L2 U L2 U L2 U2 L',U2 F U' R B' R' F' R B R' U' F U2 F' U',53
B D2 R2 F' B' D' R L' B' F2 R2 B F D F' U2 B2 R' B F' U F,x x,U B U' L B' D B' L F,L2 R D L2,R2 U R' U R2,U2 B' R F R D R' D' B F',U' B' R' F R B R' F' R,U2 B2 D F2 D R2 F D B' D2 F D' B' U' U',52
B U2 F2 L R F' R2 U R2 F R' U' L B D2 U' L B2 L' U2 F' L2 D2 F2 L2,x x,D R D L B U2 R D2,L' B2 L' D2 L2,R2 U' R2 U' R,U' U B2 R U R2 U R2 U' R B2,B' U F U' B U F',U U' F2 D' L2 U L2 F2 D R2 U' R2 U',49
D2 L2 F2 L D F2 L B' D' R2 D R' U2 B' U' L B R F' U2 B' D B',x x y,U L2 B L' R B U L' D,F2 D' R' B2 R F2,U2 R' U' R U' B2,R2 B2 R U' R' B2 R2,R' F' L' F R F' L F,U' F' B' U2 F B R U' L U2 R' U L' U',50
U2 B D R2 B' U' B' F L F' U' R2 B' D L U D' B2 F' U D',x x,D L2 F' D L2 F L' D2,U L2 R D L2,R' D' U' L F2 L' D,U R B2 U B2 D' R2 D U2 R',F' L F L' U2 F2 R' F' R F',U' U' B U L' U2 F' U B' U' F U2 B L B' U2,56
B U' L2 B' U2 B R' F D' L B L' R D' L B2 U D' F2 B' R' D R' L U,z z,L' U2 F2 U L' D' B' F2 D,U R B2 R',L2 U L2 U' L,U2 F' U' L2 U L2 F,U F' L' B L F L' B' L,L2 B' U2 B2 L2 F' D2 F2 D2 L2 B' U2 L2 F2 U',49
L F' L' D' L2 R2 D U B' U R' U B2 F' L B2 D2 B' F2 L' D2 U B2 D,x x,B L2 U R2 D' L2 R F' L',L2 D R' D' L2,R2 U R2 U' R2,U2 U R U2 R2 U2 R' U2 R,U2 F' L' B' L F L' B L,U B2 R U' L U2 R' U L' R2 B2 R2 U B2 U,52
R' D2 L' F2 L' F L2 F R2 F2 D' L' R' D' U B D B2 L U B2 R',x x,R U' B2 F L' R2 B2 D',L2 R D' R' D' L2,R2 U2 R2 U' R,U2 B' R2 U' R2 U B,F' L F L' U2 F2 R' F' R F',B' U2 B2 U L' B' D' B2 D L B U' B' U2,50
F' U2 D' L' F2 R' D R2 L F' B2 R2 B L2 U R' U F' L' U' B L' R B',x z x,U' F' U R B2 R U2 B2 L2,B2 D' R F2 R' B2,L' U' L U2 F2,U' U F2 L' F2 D' L D F2 L,,U2 B' F' U2 B F L U' R U2 L' U R',43
F2 B R' U2 B' L' B' L' R' U2 R2 F' R' U' D L D' U2 F D2 B2 L2,x x y,B L2 U R F D' R' B' L D2,F2 D2 F2,L U L',U2 L D2 B R' F2 R B' D2 L',U2 L' B' R B L B' R' B,U2 F U' R B' R' F' R B R' U' F U2 F' U,50
L B2 R B' L' D U L U D' L2 R U' D L2 F L' F2 R2 B D2 F,x x y,U B' R D' L2 U2 L2 B',F2 R D2 R2 B2 R F2,U L U L',U' L' R' U' L U' L2 R B2 L2,U2 R' F' L' F R F' L F,U2 U' R2 D' F2 U F2 R2 D B2 U' B2 U',51
F B2 D' F' L' B F R' D L B2 U' F2 B D' L F B' L' B' L2 F B2 D' B',z z,L' B' L' B' F' R2 D L' F,L2 U R2 D' R2,D' U2 L U' L' D,L U' L2 U2 L' U2 L,U F' U2 F2 U F2 U F2 U2 F',U' F2 D' B2 D' R2 B' D' F D2 B' D F U',51
B' L' F L F2 R2 D2 L2 B2 U L' R U F' U F L F' D B2,z z,B' L B L2 F2 D U' B',B2 L' U L B2,L2 D' U2 L U' L' D,U' U' L' U2 L U L2 U L,B' R' F' R B R' F R,U2 B2 U' R L' B2 R' L U' B2 U2 U',49
F' L' U2 F2 B' L2 D L2 D B' U2 B' D' R D' B' R F' L' D' R' B D2 R',x x,R B' U F L R2 F D B,U L2 D L2,R2 D' U' L F2 L' D,B F' U2 B' F R' U R',F U' B' U F' U' B,L' B R' U2 L F' L R2 D2 R2 F L' R,48
D2 L2 D2 U F' U2 D B2 F' R2 B2 F' L2 U D' B F R2 L' U' B,x x,U2 L2 U' R2 B L' F D,L2 D2 R D L2,R2 U' R,U B' F R2 B F',B' U' R' U R B,L2 B2 F2 R D R F D' F' R' B R' B F2 L2,43
F L' F2 B' U B' U L2 R' F U2 B' F2 L D2 R' D2 R' F L B',x x,D2 F2 U R U2 B' R' U F',L2 D' R2 D' L2,R U2 R2,L' D2 L U2 L' D2 L,B' U2 B2 U B2 U B2 U2 B',U' B2 D B' U' F U2 B' U F' U' B2 L2 D' B2,48
L U' R2 U' R L2 F' D' R2 B F2 L2 U D2 L2 B U2 F B2 R' D' F L U' B2,x x,B' R' B' U2 R U L2 D,L2 D' R' D' L2,U' R2 U' R,U2 R' D' F2 U F2 D R',U' F' L' B' L F L' B L,B2 D F2 D R2 F D B' D2 F D' B' U' U2,48
L2 R' D' L2 R2 F2 L2 D2 U' B' L F2 U' B' D' R' F U' F D R2 B' D2 F2,x z x,U2 L' D' F' L F2 D' B D',B2 R' D' R B2,L D' L D L2 F2,L' U2 L U2 L' U' L,U2 L' B' R' B L B' R B,U2 B' R F' U2 B L' B F2 D2 F2 L B' F U2,51
L' B D F' D B L' B2 R' L2 D' U2 R' D F2 D U' B D L U D2 R' B',z z,L2 B2 L2 U' R2 B' F' D2 R',R2 D' R2,L U' L2,U L U2 L2 U2 L' U2 L,F R2 B' R' B R' F',U2 R' F R' F2 L F' L' F2 R2 U' U,42
R D B' F R2 D F2 D R2 U' R2 D' F' U R2 F L R' D F2 D',x x,L2 D U2 L' D' R U' B F,R2 U L2 D L2,U R,B' U R U2 R U R2 U' B,B' R' F R' F' R2 B,D' B F R B2 R' B' F' R2 U' R2 D B2,45
R' L2 D2 B' R2 B' R' F2 D2 F' D2 R' D' B' D F' U' B' L D,x x,D' R U R' F L2 R2 F D,L F2 L D L2,R2 U2 R2 U' R2,B F' U2 B' F R2,U' B' U2 B2 U B2 U B2 U2 B',F2 U' L R' F2 L' R U' F2 U2 U2,46
F D L2 U2 B' L' U R B F R2 F' B2 U2 R' U2 D2 F' U D B' D,x x y,F L2 U2 F L2 B' L' D2 U F',U2 F2 D F2,U2 L U L',L' D L U' L' D' L,U2 L' B' R B L B' R' B,B2 R' U2 R2 B2 L' D2 L2 D2 B2 R' U2 B2 L2 U',49
U' F L2 D F2 R B' L F' B L R2 U2 R' B2 R' D L B' L' U D,x x y,L' U2 L2 B L D U2 B D,U F2 D' R' B2 R F2,R B2 R',U' L2 D2 R D R' D L B2 L,U' L' U2 L2 U L2 U L2 U2 L',U' F' B' U2 F B R U' L U2 R' U L',52
U' B D' R2 F2 B' R' B2 R U2 F D' F L' B2 L' U L R D F2 D2,x x,B D' B D' L' B' R2 U F',U' R2 U L2 D L2,U R' U' R,U B' D' U L F2 L' D U' B,F U2 F' U' F U' F',U F' L F L' R' F L R' F L' F' R2 U,50
L' F2 L' U2 L2 B R' F2 L B2 F' D2 B D2 U' F' U' B' D2 B2 R U' F',x x y,R' U R' F2 L2 B U2 F' R,B2 U F2 D F2,B2 U' L U2 L' B2,U' L' B2 L U2 F' L' B2 L F,U2 L' B' R B L B' R' B,U U' R2 D' F2 U F2 R2 D B2 U' B2 U2,52
L2 B R D2 R2 L2 D R2 B R2 L' B F2 R2 U F R2 L B L',x z x,R' D U' F2 U' B' L2 D R,U2 B2 D B2,L D' L D L2 U F2,U2 U' F2 D' L2 U2 L2 D F2,F R2 B' R' B R' F',U B2 D F' L2 F D' B R B R' B U2 B' U2,51
U R2 U' L D2 B2 R L F' B D' L' B R U' F B2 L2 R D B,x x,F2 U B' L' D U2 R' F,U2 L F2 L',R U R2,B F' U2 B' F R' U R',B' R2 F R F' R B,U B2 R2 B' L' B L2 F' L F R2 L2 B2,43
U' F' R2 L' B' F U2 F L' U' L' D2 F2 L U' L F' L2 D B' F2,x x,F' U2 L' D' R F2 L' B F2,L2 D' L2,U R,D2 B2 R' F2 U2 B2 L' F2,F U' B' U F' U' B,U' L U' F R' F' L' F R F' U' L U2 L' U2,44
B' D L B F U F' L' R D' L2 F2 L2 B' D2 U' R' L U2 R B2 F2 D,z z,U F' R F2 L U2 B D B F2,L2 U R2 D' R2,L' U2 L2 U' L2,U B' R U2 R' U2 B U2 F2 L F2,U2 F' U2 F2 U F2 U F2 U2 F',F' L F' R2 F L' F' R2 F2 U,51
F2 R2 D U' F2 R' D' U2 F U D' B2 D U2 R2 L' D L2 U F' L2 F,z z,F L' D' B L' B2 F R2,U R B2 R',U L2 U' L2,U2 U F2 L U L2 U L2 U' L F2,L' U' B' U B L,U' F' U B' U2 L' U L F B U L' B L B' U2,49
U2 L2 U' B2 L F L' R' B2 L' F2 R2 D' F' R2 L D B2 R2 B',x x,D B' U2 R' B' D R' F' D' B',U' L2 R D' L2,D' R U' R' D,L F2 R2 F2 L' U2 R,B' R' U' R U B,U U' F' U' L' U' B L' B' L2 F R U2 R' U',48
D B F2 D R F L' F2 B' D' B' D' B2 R' L' U2 B R U L F L D',x x,B' U' L' R2 D' U B' D2 L,U' L2 D' L2,U' R2 U' R U R2,U' R U2 R',U F' L' B' L F L' B L,U2 U' F2 D' L2 U L2 F2 D R2 U' R2 U',45
B' L D2 R' F' D F2 R' F' B' U L F' U2 F D2 L U F2 D F B' L',z z,F L B' R2 D2 U' B R2 F',R2 D' L' D' R2,L U2 L U' L2,L' U' L U L,F' L' B L F L' B' L,U U' B2 D' R2 U R2 B2 D L2 U' L2 U,45
U F2 U' B' R2 U2 R L2 D' R' D R U B D2 F2 B' R2 F L F R' D',x x y,R2 U' F' D' B2 D B' U2 R2,B2 U F2 D F2,R' U R2 B2 R' B2,L' U' B2 U R' L U R,U L' U2 L2 U L2 U L2 U2 L',U' F U' R B' R' F' R B R' U' F U2 F' U',53
L R' F2 D' F' L' F' R L2 B U' D2 B D2 B L2 U2 B L U2 R2 B U' B2 D,x x y,D' L U' B F' R F,B2 U' F2 D F2,B2 L U L',U L' R2 B2 U R' U' B2 L R2,U' R' F' L' F R F' L F,U' F' L B' U2 F R' F B2 D2 B2 R F' B U',50
F2 U2 B' R2 B R2 U' L D' U' L2 F' R2 B2 R' B F2 L' F' B' L R,x x,L2 D' B' U2 L R U F2 D2 B',R2 U' L2 D' L2,U' R2 U' R U R2,U2 U B' U' R2 U R2 B R U2 R',F U2 F' U' F U' F',U2 U' B2 D' F2 D' L2 F' D' B D2 F' D B U2,54
B L2 D R U2 F L' U2 D' F' B L D2 B2 R U' F' B R B2 D2 B2,x z x,U' L' F L' B2 D2 B R2 D2,B2 R' D' R B2,U2 F2 U' R U R',R' D R2 U2 R2 D' R,U R' F' L F R F' L' F,U' L2 B2 U' B2 D L2 D' L2 U L2 U2,48
B' F2 D' B L2 R2 B' F' L R' F L F' L D R2 U L B' D F2 D' B F,x z x,L R' U B' D U' F',B2 R D2 R B2 L,L2 B2 D R' D' B2 L2,L' U' L U L' U' L,U R' U2 R2 U R2 U R2 U2 R',U L2 U' B F' L2 B' F U' L2 U2 U',49
D B2 R D B2 F2 L' F' R B' R' F2 L' U2 D B2 F2 U2 L U' R',x x,B L' B2 R U' R B F,U2 R2 U L2 D L2,U R2 U' R2,R' U2 R U R U R,U B' U2 B2 U B2 U B2 U2 B',U2 U' F2 D' L2 U L2 F2 D R2 U' R2,47
R B F' D2 R' D B2 U L' F2 B' L U2 F R B' F U2 L2 U',x x,B' F R' U R2 B' L' D F',L2 D R' D L2,U R' U R2,R U' R' U R' U' R U R,U' F' L' B' L F L' B L,U2 U' B2 D' F2 D' L2 F' D' B D2 F' D B U,51
L2 F D R D F D F' U' F U' F' B2 L F L2 U' L2 F2 L,x x,B' F2 L2 U2 L' F2 L F',L' B2 L' D L2,R U R U' R2,U F2 L D' L D L2 F2,B' R' F R' F' R2 B,R F' L2 D' B' D L' F R' F' L' F U' U,47
R' D R B2 R2 L' D2 B2 F2 L2 F U' L D' F R2 L2 U' L B2 L',x x y,L2 R F2 U' L F L B R,U' F2 D F2,U' B2 L U L',B2 D' R2 U2 R2 D B2,L' B' U' B U L,B R' F2 D' L' D F' R B' R' F' R U' U',45
F2 L R2 U' L2 F2 B' U2 D2 F2 D' B D2 L' R' D' L2 U R B,x x,R' B R2 D' B' R D F',L2 D2 R D L2,R U' R2,U2 R B U B2 D' R D B U R',B' R' F R B R' F' R,U' L' U2 L F R U' R' U' F' U' L F' L' F U',51
L2 R2 U' L F2 L U2 F D' R' U' L D' U2 L2 B F' L' R F' D2 F R2 D2,x x,U' B2 L2 R2 U2 F' L R' F,U L2 R D' L2,U2 R' U' R2,F2 U2 R' F2 R U2 F2,,L R U2 R' U' R U2 L' U R' U',36
F' R2 D' B' L2 F' B D L U' R F2 L2 D' B2 R' B' D U' B',x x,U' L2 D2 R B' F R' B F,R' U2 L2 D L2,R U R' U R2,B2 R2 B2 L U L' B2 R2 B2,B' R' F R' F' R2 B,R B U' B2 D' R2 D R' F R2 B2 F' U2 B',49
F' L2 R F2 L' B R D' U2 R2 F B R L D F D2 U R' D2 F2 B,x x,D L' U' R2 U2 L' B U' F,U2 L2 D R2 D L2,U R' U R' U' R2,U2 R U' L D' F2 D L' U' R,U' B' R' F R B R' F' R,U' B2 R U' L U2 R' U L' R2 B2 R2 U B2,54
U' R2 L D B2 L U' D' B' D2 B2 F2 R' B2 F D' R' U' D2 L' F' R,x x y,B D' B2 D2 L' B' R2 D' F',F2 L2 F2 U' B2 R2,R D' R D R2 B2,U2 R U2 R2 U' R2 U' R',U R' F' L' F R F' L F,U' R2 F2 U' F2 D R2 D' R2 U R2,49
U' R L2 U2 B D2 B F R2 U' D L' R2 D F' U2 B' F' U R B D2 F2,x x,L2 U' F2 L' D2 U2 R' U F,L2 D R' D' L2,U R,U' B' U' R2 U B F' U2 F,U2 B' R' F R B R' F' R,U2 B' R B' L2 B R' B' L2 B2 U2,45
B L U D R L2 B R2 L' F' L F' U D2 L' D2 F' D2 R U2 F' B2 R,x x,B D2 U2 B D L' D' F,U L F2 L',D' U' L F2 L' D,U2 B2 R2 U2 B2 U B2 U R2 B2,F R2 B' R' B R' F',R2 U R F R F2 U F2 R F' R',46
R' B D' B' R' L' D' F2 L' D' B R' D2 L' D' R' U2 B U B2,x x,R' U F' L D2 B D2 R F,L2 D2 R D L2,R U R' U' R U R2,L' B2 R D' B2 L2 U' F2 L',F' L F L' U2 F2 R' F' R F',U2 R U R' U R U2 R2 F R B' R2 F' R2 B,55
D2 F R2 L2 U L' R2 F2 L2 B D' F B D F' U D2 R' U' F' U L R F',x x,U' R2 D2 R U' B F' D' F,L2 D2 L B2 L,U R' U' R,U B' D B2 U' B2 D' B,B' U2 B2 U B2 U B2 U2 B',L2 U F' B L2 F B' U L2 U' U,46
D2 B F' U' B' L2 B' F2 L2 U' B L' F2 D L' D B2 U2 F D' U,x x,F R' D' B' L' B2 D2 B L',L2 D' R' D' L2,D' U R U R' D,U2 U R U2 R2 U2 R' U2 R,B' U F U' B U F',L' B R' U2 L F' L R2 D2 R2 F L' R U2,50
L U L' D2 R' B' R' U' F2 L' F' R' F' U F2 D' B' R2 U' F2 R U2 B' R' U,x x y,U B2 D2 F' L' B' L' D' R',F2 D L B2 L' F2,R B2 R2 U R B2,U R F2 R2 U L2 B2 R' D L2 R2,B' R' U' R U B,U' R U2 R' U' F' L' U2 L U F U2,50
B2 L2 B D' B L B2 F' R' B R L2 D F2 D U' L' D' U2 F2 R F2 L2,x x,B' F' R' B2 U2 R' U' B' F2,U' L2 R' D L2,R' D' U' L F2 L' D,U' R U' L2 D2 R' D2 L2 U2 R',U B' U2 B2 U B2 U B2 U2 B',F2 L2 U' L2 D F2 D' F2 U F2 U,52
