scramble,orientation,fb,block_fl,block_bl,cmll,eo,L6E,total_moves
R L B' R' U2 F2 U' F' U2 F' U2 R2 D' F2 R2 U' F' D2 B' D2 U2 B' F,x2,L2 R2 F D' F2 R B' F2 R',L U L' U L2,l2 L2 U' l2 L' U L',F R F' L F R' F' L',,M U2 M U M U2 M' U M2 U2,39
F2 R2 U' L2 R' B2 U R' B D2 U2 F L D2 U2 R' F U2 F2 B' R' L' B F',x2,R U' L' U2 L2 U' B' R2 F',L U' L U' L' U2 L2,U L U L',B U B2 U' B2 U B U2,,U2 M' U2 M U' M U2 M U M2 U2,39
B U2 D2 B R U2 D R U2 B2 R2 B2 F' R' L D2 R' F U' L2 U L' D' U' F,x2,L' B U2 F' R F2 U' F' D' B',U l2 U l2 L',L U' l' U2 l U2 L',U R B2 R' U2 R' U L U' L' R U',,U M U2 M' U' M U2 M',42
D2 R2 F D R2 D2 F2 U2 L' B2 L' B R U' L2 B' R2 L' F2 U B F' D2,x2,F' R2 F2 R' F' L' F' D2 F',U2 l U2 l L2 U' l2 L',L U L' U L U L',B' U2 B' D' F R2 F' D B2 U2 U',,U2 M U2 M U M U2 M' U M2,45
L' R' U B L2 B R2 U2 D2 R L' U' R D L U2 R U D' B U' L2 D' R2,x2,L2 D B' L2 B' D R2 U2 B',l2 U2 l U2 l,U' L U L' U2 L U L',U R' F2 U F2 U' F2 U' F2 R U',,U' M' U M2 U2 M2 U M U,42
F B' D' U B2 D' L' U R' L' B2 L2 B R L B' U2 F L' R2 U2 L' U D2,x2,F2 D B D' F2 D' B' U2 R,U' l U2 l2 U2 l,l2 L' U l2 L2 U' L',U2 B' U2 B' D' F R2 F' D B2 U2 U2,,U2 M2 U M U2 M U',41
U F2 U' F' B' R U' D2 R' B L2 R D U2 F' R2 B U2 D2 R2 U2 L' R,x2,U' B' F U' B' D R B,L U l U2 l' L U L2,U2 L U L' U' L U L',U' F R2 F L2 F' R2 F L2 F2 U U',,U M2 U' M U2 M U2,43
D' B' L' D L2 B' F' U F' U B' L' D2 U' L2 U' L' D R' F2 B R2 D R' F2,x2,R2 F D F D U2 R' D',l2 U2 l2 L2 U' L,U2 L U' L' U' L U L',U F R' U2 R F' R' F U2 F' R U2 U',,U2 M U2 M' U M U2 M' U,44
B2 U2 L2 B2 R U2 R L2 F' U2 L2 D' F2 R2 B L2 D L F B2 D B D2 R,x2,F' L' D2 L2 R2 U' R' D' B' F',U2 l U2 L U2 l2 U2 l,L2 U' l2 U l2 U L2,U R U R' U R2 F2 R' U2 R F2 R2 U U2,,U' M U2 M' U',44
F2 R2 L2 F2 B2 R B' L' F' L B L2 R D' U2 R' L' F' B2 L' U2 F2,x2,D2 F2 R2 F' R B2 D R2 F,U2 L' U2 L U L2,U' l2 U2 L' U' L U' l2,B' U2 B U B' U B,,U M2 U2 M U2 M' U' M2,38
